"TIPO","FECHA","description","TX"
"RENAPO","2024/09/07 14","Procesada","9860"
"RENAPO","2024/09/07 14","Procesada por Cache","4148"
"RENAPO","2024/09/07 14","Rechazada por limite de Transacciones permitidas","2936"
"RENAPO","2024/09/07 14","Recibida","1080"
"RENAPO","2024/09/07 14","Sin Respuesta de RENAPO","10554"
"RENAPO","2024/09/07 13","Procesada","9670"
"RENAPO","2024/09/07 13","Procesada por Cache","4192"
"RENAPO","2024/09/07 13","Rechazada por limite de Transacciones permitidas","3026"
"RENAPO","2024/09/07 13","Recibida","825"
"RENAPO","2024/09/07 13","Sin Respuesta de RENAPO","11775"
"RENAPO","2024/09/07 12","Procesada","9950"
"RENAPO","2024/09/07 12","Procesada por Cache","4218"
"RENAPO","2024/09/07 12","Rechazada por limite de Transacciones permitidas","3075"
"RENAPO","2024/09/07 12","Recibida","1027"
"RENAPO","2024/09/07 12","Sin Respuesta de RENAPO","10344"
"RENAPO","2024/09/07 11","Procesada","9802"
"RENAPO","2024/09/07 11","Procesada por Cache","3903"
"RENAPO","2024/09/07 11","Rechazada por limite de Transacciones permitidas","1228"
"RENAPO","2024/09/07 11","Recibida","359"
"RENAPO","2024/09/07 11","Sin Respuesta de RENAPO","10173"
"RENAPO","2024/09/07 10","Procesada","11082"
"RENAPO","2024/09/07 10","Procesada por Cache","3475"
"RENAPO","2024/09/07 10","Sin Respuesta de RENAPO","3390"
"RENAPO","2024/09/07 09","Procesada","9664"
"RENAPO","2024/09/07 09","Procesada por Cache","2602"
"RENAPO","2024/09/07 09","Sin Respuesta de RENAPO","108"
"RENAPO","2024/09/07 08","Procesada","6497"
"RENAPO","2024/09/07 08","Procesada por Cache","1953"
"RENAPO","2024/09/07 08","Sin Respuesta de RENAPO","51"
"RENAPO","2024/09/07 07","Procesada","3915"
"RENAPO","2024/09/07 07","Procesada por Cache","1345"
"RENAPO","2024/09/07 07","Sin Respuesta de RENAPO","72"
"RENAPO","2024/09/07 06","Procesada","1990"
"RENAPO","2024/09/07 06","Procesada por Cache","1002"
"RENAPO","2024/09/07 06","Sin Respuesta de RENAPO","25"
"RENAPO","2024/09/07 05","Procesada","1099"
"RENAPO","2024/09/07 05","Procesada por Cache","931"
"RENAPO","2024/09/07 05","Sin Respuesta de RENAPO","37"
"RENAPO","2024/09/07 04","Procesada","915"
"RENAPO","2024/09/07 04","Procesada por Cache","947"
"RENAPO","2024/09/07 04","Sin Respuesta de RENAPO","24"
"RENAPO","2024/09/07 03","Procesada","1251"
"RENAPO","2024/09/07 03","Procesada por Cache","3405"
"RENAPO","2024/09/07 03","Sin Respuesta de RENAPO","29"
"RENAPO","2024/09/07 02","Procesada","2062"
"RENAPO","2024/09/07 02","Procesada por Cache","3692"
"RENAPO","2024/09/07 02","Sin Respuesta de RENAPO","41"
"RENAPO","2024/09/07 01","Procesada","3498"
"RENAPO","2024/09/07 01","Procesada por Cache","1803"
"RENAPO","2024/09/07 01","Sin Respuesta de RENAPO","50"
"RENAPO","2024/09/07 00","Procesada","5938"
"RENAPO","2024/09/07 00","Procesada por Cache","1900"
"RENAPO","2024/09/07 00","Sin Respuesta de RENAPO","99"
"RENAPO","2024/09/06 23","Procesada","7078"
"RENAPO","2024/09/06 23","Procesada por Cache","2409"
"RENAPO","2024/09/06 23","Rechazada por limite de Transacciones permitidas","6965"
"RENAPO","2024/09/06 23","Sin Respuesta de RENAPO","101"
"RENAPO","2024/09/06 22","Procesada","10828"
"RENAPO","2024/09/06 22","Procesada por Cache","3409"
"RENAPO","2024/09/06 22","Rechazada por limite de Transacciones permitidas","8441"
"RENAPO","2024/09/06 22","Sin Respuesta de RENAPO","204"
"RENAPO","2024/09/06 21","Procesada","11707"
"RENAPO","2024/09/06 21","Procesada por Cache","3546"
"RENAPO","2024/09/06 21","Sin Respuesta de RENAPO","1524"
"RENAPO","2024/09/06 20","Procesada","11319"
"RENAPO","2024/09/06 20","Procesada por Cache","4085"
"RENAPO","2024/09/06 20","Sin Respuesta de RENAPO","5037"
"RENAPO","2024/09/06 19","Procesada","10759"
"RENAPO","2024/09/06 19","Procesada por Cache","4047"
"RENAPO","2024/09/06 19","Sin Respuesta de RENAPO","8607"
"RENAPO","2024/09/06 18","Procesada","10282"
"RENAPO","2024/09/06 18","Procesada por Cache","4406"
"RENAPO","2024/09/06 18","Rechazada por limite de Transacciones permitidas","1307"
"RENAPO","2024/09/06 18","Recibida","54"
"RENAPO","2024/09/06 18","Sin Respuesta de RENAPO","10303"
"RENAPO","2024/09/06 17","Procesada","10176"
"RENAPO","2024/09/06 17","Procesada por Cache","4591"
"RENAPO","2024/09/06 17","Rechazada por limite de Transacciones permitidas","2714"
"RENAPO","2024/09/06 17","Recibida","789"
"RENAPO","2024/09/06 17","Sin Respuesta de RENAPO","10854"
"RENAPO","2024/09/06 16","Procesada","9837"
"RENAPO","2024/09/06 16","Procesada por Cache","4591"
"RENAPO","2024/09/06 16","Rechazada por limite de Transacciones permitidas","3096"
"RENAPO","2024/09/06 16","Recibida","436"
"RENAPO","2024/09/06 16","Sin Respuesta de RENAPO","12179"
"RENAPO","2024/09/06 15","Procesada","9862"
"RENAPO","2024/09/06 15","Procesada por Cache","4520"
"RENAPO","2024/09/06 15","Rechazada por limite de Transacciones permitidas","2537"
"RENAPO","2024/09/06 15","Recibida","469"
"RENAPO","2024/09/06 15","Sin Respuesta de RENAPO","11389"
"RENAPO","2024/09/06 14","Procesada","10453"
"RENAPO","2024/09/06 14","Procesada por Cache","4569"
"RENAPO","2024/09/06 14","Rechazada por limite de Transacciones permitidas","3939"
"RENAPO","2024/09/06 14","Recibida","1284"
"RENAPO","2024/09/06 14","Sin Respuesta de RENAPO","7827"
"RENAPO","2024/09/06 13","Procesada","10649"
"RENAPO","2024/09/06 13","Procesada por Cache","4714"
"RENAPO","2024/09/06 13","Rechazada por limite de Transacciones permitidas","5865"
"RENAPO","2024/09/06 13","Recibida","1336"
"RENAPO","2024/09/06 13","Sin Respuesta de RENAPO","6895"
"RENAPO","2024/09/06 12","Procesada","10713"
"RENAPO","2024/09/06 12","Procesada por Cache","4793"
"RENAPO","2024/09/06 12","Rechazada por limite de Transacciones permitidas","5904"
"RENAPO","2024/09/06 12","Recibida","1724"
"RENAPO","2024/09/06 12","Sin Respuesta de RENAPO","6495"
"RENAPO","2024/09/06 11","Procesada","10640"
"RENAPO","2024/09/06 11","Procesada por Cache","4702"
"RENAPO","2024/09/06 11","Rechazada por limite de Transacciones permitidas","5197"
"RENAPO","2024/09/06 11","Recibida","1560"
"RENAPO","2024/09/06 11","Sin Respuesta de RENAPO","6311"
"RENAPO","2024/09/06 10","Procesada","10617"
"RENAPO","2024/09/06 10","Procesada por Cache","4202"
"RENAPO","2024/09/06 10","Rechazada por limite de Transacciones permitidas","921"
"RENAPO","2024/09/06 10","Recibida","1295"
"RENAPO","2024/09/06 10","Sin Respuesta de RENAPO","6701"
"RENAPO","2024/09/06 09","Procesada","10760"
"RENAPO","2024/09/06 09","Procesada por Cache","2788"
"RENAPO","2024/09/06 09","Sin Respuesta de RENAPO","1221"
"RENAPO","2024/09/06 08","Procesada","7556"
"RENAPO","2024/09/06 08","Procesada por Cache","1945"
"RENAPO","2024/09/06 08","Sin Respuesta de RENAPO","106"
"RENAPO","2024/09/06 07","Procesada","4596"
"RENAPO","2024/09/06 07","Procesada por Cache","1310"
"RENAPO","2024/09/06 07","Sin Respuesta de RENAPO","83"
"RENAPO","2024/09/06 06","Procesada","2485"
"RENAPO","2024/09/06 06","Procesada por Cache","858"
"RENAPO","2024/09/06 06","Sin Respuesta de RENAPO","43"
"RENAPO","2024/09/06 05","Procesada","1301"
"RENAPO","2024/09/06 05","Procesada por Cache","564"
"RENAPO","2024/09/06 05","Sin Respuesta de RENAPO","27"
"RENAPO","2024/09/06 04","Procesada","975"
"RENAPO","2024/09/06 04","Procesada por Cache","573"
"RENAPO","2024/09/06 04","Sin Respuesta de RENAPO","13"
"RENAPO","2024/09/06 03","Procesada","1237"
"RENAPO","2024/09/06 03","Procesada por Cache","706"
"RENAPO","2024/09/06 03","Sin Respuesta de RENAPO","22"
"RENAPO","2024/09/06 02","Procesada","1715"
"RENAPO","2024/09/06 02","Procesada por Cache","949"
"RENAPO","2024/09/06 02","Sin Respuesta de RENAPO","22"
"RENAPO","2024/09/06 01","Procesada","2833"
"RENAPO","2024/09/06 01","Procesada por Cache","1332"
"RENAPO","2024/09/06 01","Sin Respuesta de RENAPO","40"
"RENAPO","2024/09/06 00","Procesada","5022"
"RENAPO","2024/09/06 00","Procesada por Cache","1799"
"RENAPO","2024/09/06 00","Sin Respuesta de RENAPO","89"
"RENAPO","2024/09/05 23","Procesada","8517"
"RENAPO","2024/09/05 23","Procesada por Cache","4357"
"RENAPO","2024/09/05 23","Sin Respuesta de RENAPO","108"
"RENAPO","2024/09/05 22","Procesada","11481"
"RENAPO","2024/09/05 22","Procesada por Cache","5549"
"RENAPO","2024/09/05 22","Rechazada por limite de Transacciones permitidas","6739"
"RENAPO","2024/09/05 22","Sin Respuesta de RENAPO","301"
"RENAPO","2024/09/05 21","Procesada","11313"
"RENAPO","2024/09/05 21","Procesada por Cache","4224"
"RENAPO","2024/09/05 21","Rechazada por limite de Transacciones permitidas","8892"
"RENAPO","2024/09/05 21","Sin Respuesta de RENAPO","1818"
"RENAPO","2024/09/05 20","Procesada","10795"
"RENAPO","2024/09/05 20","Procesada por Cache","4198"
"RENAPO","2024/09/05 20","Rechazada por limite de Transacciones permitidas","135"
"RENAPO","2024/09/05 20","Recibida","405"
"RENAPO","2024/09/05 20","Sin Respuesta de RENAPO","7802"
"RENAPO","2024/09/05 19","Procesada","10708"
"RENAPO","2024/09/05 19","Procesada por Cache","4453"
"RENAPO","2024/09/05 19","Rechazada por limite de Transacciones permitidas","931"
"RENAPO","2024/09/05 19","Recibida","1154"
"RENAPO","2024/09/05 19","Sin Respuesta de RENAPO","7586"
"RENAPO","2024/09/05 18","Procesada","10419"
"RENAPO","2024/09/05 18","Procesada por Cache","4514"
"RENAPO","2024/09/05 18","Rechazada por limite de Transacciones permitidas","4047"
"RENAPO","2024/09/05 18","Recibida","1224"
"RENAPO","2024/09/05 18","Sin Respuesta de RENAPO","7245"
"RENAPO","2024/09/05 17","Procesada","10486"
"RENAPO","2024/09/05 17","Procesada por Cache","4790"
"RENAPO","2024/09/05 17","Rechazada por limite de Transacciones permitidas","5092"
"RENAPO","2024/09/05 17","Recibida","1427"
"RENAPO","2024/09/05 17","Sin Respuesta de RENAPO","7143"
"RENAPO","2024/09/05 16","Procesada","10681"
"RENAPO","2024/09/05 16","Procesada por Cache","4899"
"RENAPO","2024/09/05 16","Rechazada por limite de Transacciones permitidas","5082"
"RENAPO","2024/09/05 16","Recibida","1329"
"RENAPO","2024/09/05 16","Sin Respuesta de RENAPO","6743"
"RENAPO","2024/09/05 15","Procesada","10583"
"RENAPO","2024/09/05 15","Procesada por Cache","4749"
"RENAPO","2024/09/05 15","Rechazada por limite de Transacciones permitidas","4514"
"RENAPO","2024/09/05 15","Recibida","1361"
"RENAPO","2024/09/05 15","Sin Respuesta de RENAPO","7439"
"RENAPO","2024/09/05 14","Procesada","10818"
"RENAPO","2024/09/05 14","Procesada por Cache","4888"
"RENAPO","2024/09/05 14","Rechazada por limite de Transacciones permitidas","5276"
"RENAPO","2024/09/05 14","Recibida","1472"
"RENAPO","2024/09/05 14","Sin Respuesta de RENAPO","6584"
"RENAPO","2024/09/05 13","Procesada","10666"
"RENAPO","2024/09/05 13","Procesada por Cache","4953"
"RENAPO","2024/09/05 13","Rechazada por limite de Transacciones permitidas","6338"
"RENAPO","2024/09/05 13","Recibida","1481"
"RENAPO","2024/09/05 13","Sin Respuesta de RENAPO","6880"
"RENAPO","2024/09/05 12","Procesada","10599"
"RENAPO","2024/09/05 12","Procesada por Cache","4753"
"RENAPO","2024/09/05 12","Rechazada por limite de Transacciones permitidas","9088"
"RENAPO","2024/09/05 12","Recibida","1667"
"RENAPO","2024/09/05 12","Sin Respuesta de RENAPO","6497"
"RENAPO","2024/09/05 11","Procesada","10629"
"RENAPO","2024/09/05 11","Procesada por Cache","4626"
"RENAPO","2024/09/05 11","Rechazada por limite de Transacciones permitidas","7642"
"RENAPO","2024/09/05 11","Recibida","1808"
"RENAPO","2024/09/05 11","Sin Respuesta de RENAPO","5968"
"RENAPO","2024/09/05 10","Procesada","10939"
"RENAPO","2024/09/05 10","Procesada por Cache","4619"
"RENAPO","2024/09/05 10","Rechazada por limite de Transacciones permitidas","2420"
"RENAPO","2024/09/05 10","Recibida","1683"
"RENAPO","2024/09/05 10","Sin Respuesta de RENAPO","6710"
"RENAPO","2024/09/05 09","Procesada","10703"
"RENAPO","2024/09/05 09","Procesada por Cache","3280"
"RENAPO","2024/09/05 09","Rechazada por limite de Transacciones permitidas","64"
"RENAPO","2024/09/05 09","Recibida","22"
"RENAPO","2024/09/05 09","Sin Respuesta de RENAPO","3645"
"RENAPO","2024/09/05 08","Procesada","7739"
"RENAPO","2024/09/05 08","Procesada por Cache","1886"
"RENAPO","2024/09/05 08","Sin Respuesta de RENAPO","51"
"RENAPO","2024/09/05 07","Procesada","4571"
"RENAPO","2024/09/05 07","Procesada por Cache","1245"
"RENAPO","2024/09/05 07","Sin Respuesta de RENAPO","54"
"RENAPO","2024/09/05 06","Procesada","2402"
"RENAPO","2024/09/05 06","Procesada por Cache","788"
"RENAPO","2024/09/05 06","Sin Respuesta de RENAPO","34"
"RENAPO","2024/09/05 05","Procesada","1211"
"RENAPO","2024/09/05 05","Procesada por Cache","657"
"RENAPO","2024/09/05 05","Sin Respuesta de RENAPO","16"
"RENAPO","2024/09/05 04","Procesada","967"
"RENAPO","2024/09/05 04","Procesada por Cache","733"
"RENAPO","2024/09/05 04","Sin Respuesta de RENAPO","21"
"RENAPO","2024/09/05 03","Procesada","1063"
"RENAPO","2024/09/05 03","Procesada por Cache","1170"
"RENAPO","2024/09/05 03","Sin Respuesta de RENAPO","16"
"RENAPO","2024/09/05 02","Procesada","1559"
"RENAPO","2024/09/05 02","Procesada por Cache","1344"
"RENAPO","2024/09/05 02","Sin Respuesta de RENAPO","32"
"RENAPO","2024/09/05 01","Procesada","3266"
"RENAPO","2024/09/05 01","Procesada por Cache","1207"
"RENAPO","2024/09/05 01","Sin Respuesta de RENAPO","62"
"RENAPO","2024/09/05 00","Procesada","7619"
"RENAPO","2024/09/05 00","Procesada por Cache","1834"
"RENAPO","2024/09/05 00","Sin Respuesta de RENAPO","232"
"RENAPO","2024/09/04 23","Procesada","8872"
"RENAPO","2024/09/04 23","Procesada por Cache","3212"
"RENAPO","2024/09/04 23","Rechazada por limite de Transacciones permitidas","8157"
"RENAPO","2024/09/04 23","Sin Respuesta de RENAPO","123"
"RENAPO","2024/09/04 22","Procesada","9788"
"RENAPO","2024/09/04 22","Procesada por Cache","3514"
"RENAPO","2024/09/04 22","Rechazada por limite de Transacciones permitidas","10149"
"RENAPO","2024/09/04 22","Sin Respuesta de RENAPO","222"
"RENAPO","2024/09/04 21","Procesada","10917"
"RENAPO","2024/09/04 21","Procesada por Cache","3825"
"RENAPO","2024/09/04 21","Rechazada por limite de Transacciones permitidas","8532"
"RENAPO","2024/09/04 21","Sin Respuesta de RENAPO","1379"
"RENAPO","2024/09/04 20","Procesada","10596"
"RENAPO","2024/09/04 20","Procesada por Cache","4363"
"RENAPO","2024/09/04 20","Sin Respuesta de RENAPO","7791"
"RENAPO","2024/09/04 19","Procesada","10570"
"RENAPO","2024/09/04 19","Procesada por Cache","4691"
"RENAPO","2024/09/04 19","Rechazada por limite de Transacciones permitidas","488"
"RENAPO","2024/09/04 19","Recibida","935"
"RENAPO","2024/09/04 19","Sin Respuesta de RENAPO","7741"
"RENAPO","2024/09/04 18","Procesada","10718"
"RENAPO","2024/09/04 18","Procesada por Cache","4759"
"RENAPO","2024/09/04 18","Rechazada por limite de Transacciones permitidas","3224"
"RENAPO","2024/09/04 18","Recibida","963"
"RENAPO","2024/09/04 18","Sin Respuesta de RENAPO","7219"
"RENAPO","2024/09/04 17","Procesada","10777"
"RENAPO","2024/09/04 17","Procesada por Cache","5263"
"RENAPO","2024/09/04 17","Rechazada por limite de Transacciones permitidas","4303"
"RENAPO","2024/09/04 17","Recibida","1358"
"RENAPO","2024/09/04 17","Sin Respuesta de RENAPO","6614"
"RENAPO","2024/09/04 16","Procesada","10801"
"RENAPO","2024/09/04 16","Procesada por Cache","5262"
"RENAPO","2024/09/04 16","Rechazada por limite de Transacciones permitidas","4706"
"RENAPO","2024/09/04 16","Recibida","1701"
"RENAPO","2024/09/04 16","Sin Respuesta de RENAPO","6657"
"RENAPO","2024/09/04 15","Procesada","10628"
"RENAPO","2024/09/04 15","Procesada por Cache","5020"
"RENAPO","2024/09/04 15","Rechazada por limite de Transacciones permitidas","3159"
"RENAPO","2024/09/04 15","Recibida","1313"
"RENAPO","2024/09/04 15","Sin Respuesta de RENAPO","7309"
"RENAPO","2024/09/04 14","Procesada","10706"
"RENAPO","2024/09/04 14","Procesada por Cache","4974"
"RENAPO","2024/09/04 14","Rechazada por limite de Transacciones permitidas","3914"
"RENAPO","2024/09/04 14","Recibida","1251"
"RENAPO","2024/09/04 14","Sin Respuesta de RENAPO","7028"
"RENAPO","2024/09/04 13","Procesada","10550"
"RENAPO","2024/09/04 13","Procesada por Cache","5120"
"RENAPO","2024/09/04 13","Rechazada por limite de Transacciones permitidas","5074"
"RENAPO","2024/09/04 13","Recibida","1635"
"RENAPO","2024/09/04 13","Sin Respuesta de RENAPO","6143"
"RENAPO","2024/09/04 12","Procesada","10693"
"RENAPO","2024/09/04 12","Procesada por Cache","5069"
"RENAPO","2024/09/04 12","Rechazada por limite de Transacciones permitidas","4514"
"RENAPO","2024/09/04 12","Recibida","1724"
"RENAPO","2024/09/04 12","Sin Respuesta de RENAPO","6207"
"RENAPO","2024/09/04 11","Procesada","10670"
"RENAPO","2024/09/04 11","Procesada por Cache","5077"
"RENAPO","2024/09/04 11","Rechazada por limite de Transacciones permitidas","4427"
"RENAPO","2024/09/04 11","Recibida","1536"
"RENAPO","2024/09/04 11","Sin Respuesta de RENAPO","6171"
"RENAPO","2024/09/04 10","Procesada","10712"
"RENAPO","2024/09/04 10","Procesada por Cache","4814"
"RENAPO","2024/09/04 10","Rechazada por limite de Transacciones permitidas","394"
"RENAPO","2024/09/04 10","Recibida","1168"
"RENAPO","2024/09/04 10","Sin Respuesta de RENAPO","6409"
"RENAPO","2024/09/04 09","Procesada","10888"
"RENAPO","2024/09/04 09","Procesada por Cache","3444"
"RENAPO","2024/09/04 09","Sin Respuesta de RENAPO","1707"
"RENAPO","2024/09/04 08","Procesada","7202"
"RENAPO","2024/09/04 08","Procesada por Cache","2306"
"RENAPO","2024/09/04 08","Sin Respuesta de RENAPO","192"
"RENAPO","2024/09/04 07","Procesada","4242"
"RENAPO","2024/09/04 07","Procesada por Cache","1586"
"RENAPO","2024/09/04 07","Sin Respuesta de RENAPO","66"
"RENAPO","2024/09/04 06","Procesada","2132"
"RENAPO","2024/09/04 06","Procesada por Cache","978"
"RENAPO","2024/09/04 06","Sin Respuesta de RENAPO","34"
"RENAPO","2024/09/04 05","Procesada","1190"
"RENAPO","2024/09/04 05","Procesada por Cache","831"
"RENAPO","2024/09/04 05","Sin Respuesta de RENAPO","19"
"RENAPO","2024/09/04 04","Procesada","910"
"RENAPO","2024/09/04 04","Procesada por Cache","793"
"RENAPO","2024/09/04 04","Sin Respuesta de RENAPO","24"
"RENAPO","2024/09/04 03","Procesada","1007"
"RENAPO","2024/09/04 03","Procesada por Cache","1038"
"RENAPO","2024/09/04 03","Sin Respuesta de RENAPO","6"
"RENAPO","2024/09/04 02","Procesada","1502"
"RENAPO","2024/09/04 02","Procesada por Cache","963"
"RENAPO","2024/09/04 02","Sin Respuesta de RENAPO","29"
"RENAPO","2024/09/04 01","Procesada","2617"
